Sno,SICK_id,Premise,Hypothesis,Modifier,Premise/Hypothesis/Both,Part of Premise/Hypothesis Modified,Modifier Type,"Ground Truth 
(Total 7 Entailment Relations but also Includes multiple labels for some premise, hypothesis )","CompressedGT
(FE, RE, Neutral & Contradiction)"
15,90,exactly one man is jumping into an empty pool,exactly one man is jumping into a full pool,exactly one,Both,Subject,Existential,Alternation,Contradiction
16,90,all but one man is jumping into an empty pool,a man is jumping into a full pool,all but one,Premise,Subject,Existential,Neutral,Neutral
17,90,a man is jumping into an empty pool,all but one man is jumping into a full pool,all but one,Hypothesis,Subject,Existential,Neutral,Neutral
18,90,all but one man is jumping into an empty pool,all but one man is jumping into a full pool,all but one,Both,Subject,Existential,Neutral,Neutral
19,90,everyone of man is jumping into an empty pool,a man is jumping into a full pool,everyone of,Premise,Subject,Universal,Negation,Contradiction
20,90,a man is jumping into an empty pool,everyone of man is jumping into a full pool,everyone of,Hypothesis,Subject,Universal,Negation,Contradiction
21,90,everyone of man is jumping into an empty pool,everyone of man is jumping into a full pool,everyone of,Both,Subject,Universal,Negation,Contradiction
22,90,no man is jumping into an empty pool,a man is jumping into a full pool,no,Premise,Subject,Negation,Neutral,Neutral
23,90,a man is jumping into an empty pool,no man is jumping into a full pool,no,Hypothesis,Subject,Negation,Neutral,Neutral
24,90,no man is jumping into an empty pool,no man is jumping into a full pool,no,Both,Subject,Negation,Neutral,Neutral
25,90,green man is jumping into an empty pool,a man is jumping into a full pool,green,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
26,90,a man is jumping into an empty pool,green man is jumping into a full pool,green,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
27,90,green man is jumping into an empty pool,green man is jumping into a full pool,green,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
28,90,happy man is jumping into an empty pool,a man is jumping into a full pool,happy,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
29,90,a man is jumping into an empty pool,happy man is jumping into a full pool,happy,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
30,90,happy man is jumping into an empty pool,happy man is jumping into a full pool,happy,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
31,90,sad man is jumping into an empty pool,a man is jumping into a full pool,sad,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
32,90,a man is jumping into an empty pool,sad man is jumping into a full pool,sad,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
33,90,sad man is jumping into an empty pool,sad man is jumping into a full pool,sad,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
34,90,good man is jumping into an empty pool,a man is jumping into a full pool,good,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
35,90,a man is jumping into an empty pool,good man is jumping into a full pool,good,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
36,90,good man is jumping into an empty pool,good man is jumping into a full pool,good,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
37,90,bad man is jumping into an empty pool,a man is jumping into a full pool,bad,Premise,Subject,Adjectives/Adverbs,Alternation,Contradiction
38,90,a man is jumping into an empty pool,bad man is jumping into a full pool,bad,Hypothesis,Subject,Adjectives/Adverbs,Alternation,Contradiction
39,90,bad man is jumping into an empty pool,bad man is jumping into a full pool,bad,Both,Subject,Adjectives/Adverbs,Alternation,Contradiction
41,90,a man is not jumping into an empty pool,a man is jumping into a full pool,not,Premise,Verb,Negation,Neutral,Neutral
42,90,a man is jumping into an empty pool,a man is not jumping into a full pool,not,Hypothesis,Verb,Negation,Neutral,Neutral
43,90,a man is not jumping into an empty pool,a man is not jumping into a full pool,not,Both,Verb,Negation,Neutral,Neutral
44,90,a man is abnormally jumping into an empty pool,a man is jumping into a full pool,abnormally,Premise,Verb,Adjectives/Adverbs,Alternation,Contradiction
45,90,a man is jumping into an empty pool,a man is abnormally jumping into a full pool,abnormally,Hypothesis,Verb,Adjectives/Adverbs,Alternation,Contradiction
46,90,a man is abnormally jumping into an empty pool,a man is abnormally jumping into a full pool,abnormally,Both,Verb,Adjectives/Adverbs,Alternation,Contradiction
47,90,a man is elegantly jumping into an empty pool,a man is jumping into a full pool,elegantly,Premise,Verb,Adjectives/Adverbs,Alternation,Contradiction
48,90,a man is jumping into an empty pool,a man is elegantly jumping into a full pool,elegantly,Hypothesis,Verb,Adjectives/Adverbs,Alternation,Contradiction
49,90,a man is elegantly jumping into an empty pool,a man is elegantly jumping into a full pool,elegantly,Both,Verb,Adjectives/Adverbs,Alternation,Contradiction
50,90,a man is always jumping into an empty pool,a man is jumping into a full pool,always,Premise,Verb,Universal,Alternation,Contradiction
51,90,a man is jumping into an empty pool,a man is always jumping into a full pool,always,Hypothesis,Verb,Universal,Alternation,Contradiction
52,90,a man is always jumping into an empty pool,a man is always jumping into a full pool,always,Both,Verb,Universal,Alternation,Contradiction
53,90,a man is never jumping into an empty pool,a man is jumping into a full pool,never,Premise,Verb,Universal,Neutral,Neutral
54,90,a man is jumping into an empty pool,a man is never jumping into a full pool,never,Hypothesis,Verb,Universal,Neutral,Neutral
55,90,a man is never jumping into an empty pool,a man is never jumping into a full pool,never,Both,Verb,Universal,Neutral,Neutral
57,90,A man is jumping into an good empty pool,"A man is jumping into a full pool
",good,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
58,90,A man is jumping into an empty pool,A man is jumping into a good full pool,good,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
59,90,A man is jumping into an good empty pool,A man is jumping into a good full pool,good,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
60,90,A man is jumping into all but one empty pool,"A man is jumping into a full pool
",all but one,Premise,Object,Existential,Neutral,Neutral
61,90,A man is jumping into an empty pool,A man is jumping into all but one full pool,all but one,Hypothesis,Object,Existential,Neutral,Neutral
62,90,A man is jumping into all but one empty pool,A man is jumping into all but one full pool,all but one,Both,Object,Existential,Alternation,Contradiction
63,90,A man is jumping into every empty pool,"A man is jumping into a full pool
",every,Premise,Object,Universal,Alternation,Contradiction
64,90,A man is jumping into an empty pool,A man is jumping into every full pool,every,Hypothesis,Object,Universal,Alternation,Contradiction
65,90,A man is jumping into every empty pool,A man is jumping into every full pool,every,Both,Object,Universal,Alternation,Contradiction
66,90,A man is jumping into an bad empty pool,"A man is jumping into a full pool
",bad,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
67,90,A man is jumping into an empty pool,A man is jumping into a bad full pool,bad,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
68,90,A man is jumping into an bad empty pool,A man is jumping into a bad full pool,bad,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
69,90,A man is jumping into an green empty pool,"A man is jumping into a full pool
",green,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
70,90,A man is jumping into an empty pool,A man is jumping into a green full pool,green,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
71,90,A man is jumping into an green empty pool,A man is jumping into a green full pool,green,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
72,90,A man is jumping into an happy empty pool,"A man is jumping into a full pool
",happy,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
73,90,A man is jumping into an empty pool,A man is jumping into a happy full pool,happy,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
74,90,A man is jumping into an happy empty pool,A man is jumping into a happy full pool,happy,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
75,90,A man is jumping into an abnormal empty pool,"A man is jumping into a full pool
",an abnormal,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
76,90,A man is jumping into an empty pool,A man is jumping into an abnormal full pool,an abnormal,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
77,90,A man is jumping into an abnormal empty pool,A man is jumping into an abnormal full pool,an abnormal,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
78,90,A man is jumping into an sad empty pool,"A man is jumping into a full pool
",sad,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
79,90,A man is jumping into an empty pool,A man is jumping into a sad full pool,sad,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
80,90,A man is jumping into an sad empty pool,A man is jumping into a sad full pool,sad,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
81,90,A man is jumping into no empty pool,"A man is jumping into a full pool
",no,Premise,Object,Negation,Neutral,Neutral
82,90,A man is jumping into an empty pool,A man is jumping into no full pool,no,Hypothesis,Object,Negation,Neutral,Neutral
83,90,A man is jumping into no empty pool,A man is jumping into no full pool,no,Both,Object,Negation,Neutral,Neutral
84,90,A man is jumping into some empty pool,"A man is jumping into a full pool
",some,Premise,Object,Existential,Alternation,Contradiction
85,90,A man is jumping into an empty pool,A man is jumping into some full pool,some,Hypothesis,Object,Existential,Alternation,Contradiction
86,90,A man is jumping into some empty pool,A man is jumping into some full pool,some,Both,Object,Existential,Alternation,Contradiction
87,90,A man is jumping into exactly one empty pool,"A man is jumping into a full pool
",exactly one,Premise,Object,Existential,Alternation,Contradiction
88,90,A man is jumping into an empty pool,A man is jumping into exactly one full pool,exactly one,Hypothesis,Object,Existential,Alternation,Contradiction
89,90,A man is jumping into exactly one empty pool,A man is jumping into exactly one full pool,exactly one,Both,Object,Existential,Alternation,Contradiction
90,90,A man is jumping into an elegant empty pool,"A man is jumping into a full pool
",an elegant,Premise,Object,Adjectives/Adverbs,Alternation,Contradiction
91,90,A man is jumping into an empty pool,A man is jumping into an elegant full pool,an elegant,Hypothesis,Object,Adjectives/Adverbs,Alternation,Contradiction
92,90,A man is jumping into an elegant empty pool,A man is jumping into an elegant full pool,an elegant,Both,Object,Adjectives/Adverbs,Alternation,Contradiction
93,116,a player is throwing the ball,two teams are competing in a football match,NONE,NONE,NONE,No Modifiers,Neutral,Neutral
94,116,every player is throwing the ball,two teams are competing in a football match,every,Premise,Subject,Universal,Neutral,Neutral
95,116,a player is throwing the ball,every two teams are competing in a football match,every,Hypothesis,Subject,Universal,Neutral,Neutral
96,116,every player is throwing the ball,every two teams are competing in a football match,every,Both,Subject,Universal,Neutral,Neutral
97,116,some player is throwing the ball,two teams are competing in a football match,some,Premise,Subject,Existential,Neutral,Neutral
98,116,a player is throwing the ball,some two teams are competing in a football match,some,Hypothesis,Subject,Existential,Neutral,Neutral
99,116,some player is throwing the ball,some two teams are competing in a football match,some,Both,Subject,Existential,Neutral,Neutral
100,116,at least player is throwing the ball,two teams are competing in a football match,at least,Premise,Subject,Existential,Neutral,Neutral
101,116,a player is throwing the ball,at least two teams are competing in a football match,at least,Hypothesis,Subject,Existential,Neutral,Neutral
102,116,at least player is throwing the ball,at least two teams are competing in a football match,at least,Both,Subject,Existential,Neutral,Neutral
103,116,not every player is throwing the ball,two teams are competing in a football match,not every,Premise,Subject,Negation,Neutral,Neutral
104,116,a player is throwing the ball,not every two teams are competing in a football match,not every,Hypothesis,Subject,Negation,Neutral,Neutral
105,116,not every player is throwing the ball,not every two teams are competing in a football match,not every,Both,Subject,Negation,Neutral,Neutral
106,116,exactly one player is throwing the ball,two teams are competing in a football match,exactly one,Premise,Subject,Existential,Neutral,Neutral
107,116,a player is throwing the ball,exactly  two of teams are competing in a football match,exactly one,Hypothesis,Subject,Existential,Neutral,Neutral
108,116,exactly one player is throwing the ball,exactly  two of teams are competing in a football match,exactly one,Both,Subject,Existential,Neutral,Neutral
109,116,all but one player is throwing the ball,two teams are competing in a football match,all but one,Premise,Subject,Existential,Neutral,Neutral
110,116,a player is throwing the ball,all but  two of teams are competing in a football match,all but one,Hypothesis,Subject,Existential,Neutral,Neutral
111,116,all but one player is throwing the ball,all but  two of teams are competing in a football match,all but one,Both,Subject,Existential,Neutral,Neutral
112,116,everyone of player is throwing the ball,two teams are competing in a football match,everyone of,Premise,Subject,Universal,Neutral,Neutral
113,116,a player is throwing the ball,everyone of two teams are competing in a football match,everyone of,Hypothesis,Subject,Universal,Neutral,Neutral
114,116,everyone of player is throwing the ball,everyone of two teams are competing in a football match,everyone of,Both,Subject,Universal,Neutral,Neutral
115,116,no player is throwing the ball,two teams are competing in a football match,no,Premise,Subject,Negation,Neutral,Neutral
116,116,a player is throwing the ball,no two teams are competing in a football match,no,Hypothesis,Subject,Negation,Neutral,Neutral
117,116,no player is throwing the ball,no two teams are competing in a football match,no,Both,Subject,Negation,Neutral,Neutral
118,116,green player is throwing the ball,two teams are competing in a football match,green,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
119,116,a player is throwing the ball,two green teams are competing in a football match,green,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
120,116,green player is throwing the ball,two green teams are competing in a football match,green,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
121,116,happy player is throwing the ball,two teams are competing in a football match,happy,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
122,116,a player is throwing the ball,two happy teams are competing in a football match,happy,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
123,116,happy player is throwing the ball,two happy teams are competing in a football match,happy,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
124,116,sad player is throwing the ball,two teams are competing in a football match,sad,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
125,116,a player is throwing the ball,two sad teams are competing in a football match,sad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
126,116,sad player is throwing the ball,two sad teams are competing in a football match,sad,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
127,116,good player is throwing the ball,two teams are competing in a football match,good,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
128,116,a player is throwing the ball,two good teams are competing in a football match,good,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
129,116,good player is throwing the ball,two good teams are competing in a football match,good,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
130,116,bad player is throwing the ball,two teams are competing in a football match,bad,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
131,116,a player is throwing the ball,two bad teams are competing in a football match,bad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
132,116,bad player is throwing the ball,two bad teams are competing in a football match,bad,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
134,116,a player is not throwing the ball,two teams are competing in a football match,not,Premise,Verb,Negation,Neutral,Neutral
135,116,a player is throwing the ball,two teams are not competing in a football match,not,Hypothesis,Verb,Negation,Neutral,Neutral
136,116,a player is not throwing the ball,two teams are not competing in a football match,not,Both,Verb,Negation,Neutral,Neutral
137,116,a player is abnormally throwing the ball,two teams are competing in a football match,abnormally,Premise,Verb,Adjectives/Adverbs,Neutral,Neutral
138,116,a player is throwing the ball,two teams are abnormally competing in a football match,abnormally,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
139,116,a player is abnormally throwing the ball,two teams are abnormally competing in a football match,abnormally,Both,Verb,Adjectives/Adverbs,Neutral,Neutral
140,116,a player is elegantly throwing the ball,two teams are competing in a football match,elegantly,Premise,Verb,Adjectives/Adverbs,Neutral,Neutral
141,116,a player is throwing the ball,two teams are elegantly competing in a football match,elegantly,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
142,116,a player is elegantly throwing the ball,two teams are elegantly competing in a football match,elegantly,Both,Verb,Adjectives/Adverbs,Neutral,Neutral
143,116,a player is always throwing the ball,two teams are competing in a football match,always,Premise,Verb,Universal,Neutral,Neutral
144,116,a player is throwing the ball,two teams are always competing in a football match,always,Hypothesis,Verb,Universal,Neutral,Neutral
145,116,a player is always throwing the ball,two teams are always competing in a football match,always,Both,Verb,Universal,Neutral,Neutral
146,116,a player is never throwing the ball,two teams are competing in a football match,never,Premise,Verb,Universal,Neutral,Neutral
147,116,a player is throwing the ball,two teams are never competing in a football match,never,Hypothesis,Verb,Universal,Neutral,Neutral
148,116,a player is never throwing the ball,two teams are never competing in a football match,never,Both,Verb,Universal,Neutral,Neutral
150,116,A player is throwing the good ball,"Two teams are competing in a football match
",good,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
151,116,A player is throwing the ball,Two teams are competing in a good football match,good,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
152,116,A player is throwing the good ball,Two teams are competing in a good football match,good,Both,Object,Adjectives/Adverbs,Neutral,Neutral
153,116,A player is throwing all but one ball,"Two teams are competing in a football match
",all but one,Premise,Object,Existential,Neutral,Neutral
154,116,A player is throwing the ball,Two teams are competing in all but one football match,all but one,Hypothesis,Object,Existential,Neutral,Neutral
155,116,A player is throwing all but one ball,Two teams are competing in all but one football match,all but one,Both,Object,Existential,Neutral,Neutral
156,116,A player is throwing every ball,"Two teams are competing in a football match
",every,Premise,Object,Universal,Neutral,Neutral
157,116,A player is throwing the ball,Two teams are competing in every football match,every,Hypothesis,Object,Universal,Neutral,Neutral
158,116,A player is throwing every ball,Two teams are competing in every football match,every,Both,Object,Universal,Neutral,Neutral
159,116,A player is throwing the bad ball,"Two teams are competing in a football match
",bad,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
160,116,A player is throwing the ball,Two teams are competing in a bad football match,bad,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
161,116,A player is throwing the bad ball,Two teams are competing in a bad football match,bad,Both,Object,Adjectives/Adverbs,Neutral,Neutral
162,116,A player is throwing the green ball,"Two teams are competing in a football match
",green,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
163,116,A player is throwing the ball,Two teams are competing in a green football match,green,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
164,116,A player is throwing the green ball,Two teams are competing in a green football match,green,Both,Object,Adjectives/Adverbs,Neutral,Neutral
165,116,A player is throwing the happy ball,"Two teams are competing in a football match
",happy,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
166,116,A player is throwing the ball,Two teams are competing in a happy football match,happy,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
167,116,A player is throwing the happy ball,Two teams are competing in a happy football match,happy,Both,Object,Adjectives/Adverbs,Neutral,Neutral
168,116,A player is throwing the an abnormal ball,"Two teams are competing in a football match
",an abnormal,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
169,116,A player is throwing the ball,Two teams are competing in a an abnormal football match,an abnormal,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
170,116,A player is throwing the an abnormal ball,Two teams are competing in a an abnormal football match,an abnormal,Both,Object,Adjectives/Adverbs,Neutral,Neutral
171,116,A player is throwing the sad ball,"Two teams are competing in a football match
",sad,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
172,116,A player is throwing the ball,Two teams are competing in a sad football match,sad,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
173,116,A player is throwing the sad ball,Two teams are competing in a sad football match,sad,Both,Object,Adjectives/Adverbs,Neutral,Neutral
174,116,A player is throwing no ball,"Two teams are competing in a football match
",no,Premise,Object,Negation,Neutral,Neutral
175,116,A player is throwing the ball,Two teams are competing in no football match,no,Hypothesis,Object,Negation,Neutral,Neutral
176,116,A player is throwing no ball,Two teams are competing in no football match,no,Both,Object,Negation,Neutral,Neutral
177,116,A player is throwing some ball,"Two teams are competing in a football match
",some,Premise,Object,Existential,Neutral,Neutral
178,116,A player is throwing the ball,Two teams are competing in some football match,some,Hypothesis,Object,Existential,Neutral,Neutral
179,116,A player is throwing some ball,Two teams are competing in some football match,some,Both,Object,Existential,Neutral,Neutral
180,116,A player is throwing exactly one ball,"Two teams are competing in a football match
",exactly one,Premise,Object,Existential,Neutral,Neutral
181,116,A player is throwing the ball,Two teams are competing in exactly one football match,exactly one,Hypothesis,Object,Existential,Neutral,Neutral
182,116,A player is throwing exactly one ball,Two teams are competing in exactly one football match,exactly one,Both,Object,Existential,Neutral,Neutral
183,116,A player is throwing the an elegant ball,"Two teams are competing in a football match
",an elegant,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
184,116,A player is throwing the ball,Two teams are competing in a an elegant football match,an elegant,Hypothesis,Object,Adjectives/Adverbs,Neutral,Neutral
185,116,A player is throwing the an elegant ball,Two teams are competing in a an elegant football match,an elegant,Both,Object,Adjectives/Adverbs,Neutral,Neutral
186,130,a man is sitting in a field,a man is running in a field,NONE,NONE,NONE,No Modifiers,Neutral,Neutral
187,130,every man is sitting in a field,a man is running in a field,every,Premise,Subject,Universal,Negation,Contradiction
188,130,a man is sitting in a field,every man is running in a field,every,Hypothesis,Subject,Universal,Negation,Contradiction
189,130,every man is sitting in a field,every man is running in a field,every,Both,Subject,Universal,Negation,Contradiction
190,130,some man is sitting in a field,a man is running in a field,some,Premise,Subject,Existential,Neutral,Neutral
191,130,a man is sitting in a field,some man is running in a field,some,Hypothesis,Subject,Existential,Neutral,Neutral
192,130,some man is sitting in a field,some man is running in a field,some,Both,Subject,Existential,Neutral,Neutral
193,130,at least man is sitting in a field,a man is running in a field,at least,Premise,Subject,Existential,Neutral,Neutral
194,130,a man is sitting in a field,at least man is running in a field,at least,Hypothesis,Subject,Existential,Neutral,Neutral
195,130,at least man is sitting in a field,at least man is running in a field,at least,Both,Subject,Existential,Neutral,Neutral
196,130,not every man is sitting in a field,a man is running in a field,not every,Premise,Subject,Negation,Neutral,Neutral
197,130,a man is sitting in a field,not every man is running in a field,not every,Hypothesis,Subject,Negation,Neutral,Neutral
198,130,not every man is sitting in a field,not every man is running in a field,not every,Both,Subject,Negation,Neutral,Neutral
199,130,exactly one man is sitting in a field,a man is running in a field,exactly one,Premise,Subject,Existential,Neutral,Neutral
200,130,a man is sitting in a field,exactly one man is running in a field,exactly one,Hypothesis,Subject,Existential,Neutral,Neutral
201,130,exactly one man is sitting in a field,exactly one man is running in a field,exactly one,Both,Subject,Existential,Neutral,Neutral
202,130,all but one man is sitting in a field,a man is running in a field,all but one,Premise,Subject,Existential,Neutral,Neutral
203,130,a man is sitting in a field,all but one man is running in a field,all but one,Hypothesis,Subject,Existential,Neutral,Neutral
204,130,all but one man is sitting in a field,all but one man is running in a field,all but one,Both,Subject,Existential,Neutral,Neutral
205,130,everyone of man is sitting in a field,a man is running in a field,everyone of,Premise,Subject,Universal,Negation,Contradiction
206,130,a man is sitting in a field,everyone of man is running in a field,everyone of,Hypothesis,Subject,Universal,Negation,Contradiction
207,130,everyone of man is sitting in a field,everyone of man is running in a field,everyone of,Both,Subject,Universal,Negation,Contradiction
208,130,no man is sitting in a field,a man is running in a field,no,Premise,Subject,Negation,Neutral,Neutral
209,130,a man is sitting in a field,no man is running in a field,no,Hypothesis,Subject,Negation,Neutral,Neutral
210,130,no man is sitting in a field,no man is running in a field,no,Both,Subject,Negation,Neutral,Neutral
211,130,green man is sitting in a field,a man is running in a field,green,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
212,130,a man is sitting in a field,green man is running in a field,green,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
213,130,green man is sitting in a field,green man is running in a field,green,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
214,130,happy man is sitting in a field,a man is running in a field,happy,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
215,130,a man is sitting in a field,happy man is running in a field,happy,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
216,130,happy man is sitting in a field,happy man is running in a field,happy,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
217,130,sad man is sitting in a field,a man is running in a field,sad,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
218,130,a man is sitting in a field,sad man is running in a field,sad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
219,130,sad man is sitting in a field,sad man is running in a field,sad,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
220,130,good man is sitting in a field,a man is running in a field,good,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
221,130,a man is sitting in a field,good man is running in a field,good,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
222,130,good man is sitting in a field,good man is running in a field,good,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
223,130,bad man is sitting in a field,a man is running in a field,bad,Premise,Subject,Adjectives/Adverbs,Neutral,Neutral
224,130,a man is sitting in a field,bad man is running in a field,bad,Hypothesis,Subject,Adjectives/Adverbs,Neutral,Neutral
225,130,bad man is sitting in a field,bad man is running in a field,bad,Both,Subject,Adjectives/Adverbs,Neutral,Neutral
227,130,a man is not sitting in a field,a man is running in a field,not,Premise,Verb,Negation,Neutral,Neutral
228,130,a man is sitting in a field,a man is not running in a field,not,Hypothesis,Verb,Negation,Neutral,Neutral
229,130,a man is not sitting in a field,a man is not running in a field,not,Both,Verb,Negation,Neutral,Neutral
230,130,a man is abnormally sitting in a field,a man is running in a field,abnormally,Premise,Verb,Adjectives/Adverbs,Neutral,Neutral
231,130,a man is sitting in a field,a man is abnormally running in a field,abnormally,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
232,130,a man is abnormally sitting in a field,a man is abnormally running in a field,abnormally,Both,Verb,Adjectives/Adverbs,Neutral,Neutral
233,130,a man is elegantly sitting in a field,a man is running in a field,elegantly,Premise,Verb,Adjectives/Adverbs,Neutral,Neutral
234,130,a man is sitting in a field,a man is elegantly running in a field,elegantly,Hypothesis,Verb,Adjectives/Adverbs,Neutral,Neutral
235,130,a man is elegantly sitting in a field,a man is elegantly running in a field,elegantly,Both,Verb,Adjectives/Adverbs,Neutral,Neutral
236,130,a man is always sitting in a field,a man is running in a field,always,Premise,Verb,Universal,Neutral,Neutral
237,130,a man is sitting in a field,a man is always running in a field,always,Hypothesis,Verb,Universal,Neutral,Neutral
238,130,a man is always sitting in a field,a man is always running in a field,always,Both,Verb,Universal,Neutral,Neutral
239,130,a man is never sitting in a field,a man is running in a field,never,Premise,Verb,Universal,Neutral,Neutral
240,130,a man is sitting in a field,a man is never running in a field,never,Hypothesis,Verb,Universal,Neutral,Neutral
241,130,a man is never sitting in a field,a man is never running in a field,never,Both,Verb,Universal,Neutral,Neutral
243,130,A man is sitting in a good field,"A man is running in a field
",good,Premise,Object,Adjectives/Adverbs,Neutral,Neutral
