,SICK_id,Premise,Hypothesis,Modifier,Premise/Hypothesis/Both,Part of Premise/Hypothesis Modified,Ground Truth,GT,Modifier Type,nli-deberta-v3-base,ynie/roberta-large-snli_mnli_fever_anli_R1_R2_R3-nli,pair-classification-decomposable-attention-elmo,CompressedGT
13,90,exactly one man is jumping into an empty pool,a man is jumping into a full pool,exactly one,Premise,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
14,90,a man is jumping into an empty pool,exactly one man is jumping into a full pool,exactly one,Hypothesis,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
15,90,exactly one man is jumping into an empty pool,exactly one man is jumping into a full pool,exactly one,Both,Subject,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
16,90,all but one man is jumping into an empty pool,a man is jumping into a full pool,all but one,Premise,Subject,Neutral,Neutral,Existential,Contradiction,Contradiction,FE,Neutral
17,90,a man is jumping into an empty pool,all but one man is jumping into a full pool,all but one,Hypothesis,Subject,Neutral,Neutral,Existential,Contradiction,Contradiction,FE,Neutral
18,90,all but one man is jumping into an empty pool,all but one man is jumping into a full pool,all but one,Both,Subject,Neutral,Neutral,Existential,Contradiction,Contradiction,FE,Neutral
19,90,everyone of man is jumping into an empty pool,a man is jumping into a full pool,everyone of,Premise,Subject,Negation,Negation,Universal,Contradiction,Contradiction,FE,Contradiction
20,90,a man is jumping into an empty pool,everyone of man is jumping into a full pool,everyone of,Hypothesis,Subject,Negation,Negation,Universal,Contradiction,Contradiction,FE,Contradiction
21,90,everyone of man is jumping into an empty pool,everyone of man is jumping into a full pool,everyone of,Both,Subject,Negation,Negation,Universal,Contradiction,Contradiction,FE,Contradiction
22,90,no man is jumping into an empty pool,a man is jumping into a full pool,no,Premise,Subject,Neutral,Neutral,Negation,Contradiction,RE,FE,Neutral
23,90,a man is jumping into an empty pool,no man is jumping into a full pool,no,Hypothesis,Subject,Neutral,Neutral,Negation,Contradiction,FE,FE,Neutral
24,90,no man is jumping into an empty pool,no man is jumping into a full pool,no,Both,Subject,Neutral,Neutral,Negation,Contradiction,Contradiction,FE,Neutral
25,90,green man is jumping into an empty pool,a man is jumping into a full pool,green,Premise,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
26,90,a man is jumping into an empty pool,green man is jumping into a full pool,green,Hypothesis,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
27,90,green man is jumping into an empty pool,green man is jumping into a full pool,green,Both,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
28,90,happy man is jumping into an empty pool,a man is jumping into a full pool,happy,Premise,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
29,90,a man is jumping into an empty pool,happy man is jumping into a full pool,happy,Hypothesis,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
30,90,happy man is jumping into an empty pool,happy man is jumping into a full pool,happy,Both,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
31,90,sad man is jumping into an empty pool,a man is jumping into a full pool,sad,Premise,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
32,90,a man is jumping into an empty pool,sad man is jumping into a full pool,sad,Hypothesis,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
33,90,sad man is jumping into an empty pool,sad man is jumping into a full pool,sad,Both,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
34,90,good man is jumping into an empty pool,a man is jumping into a full pool,good,Premise,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
35,90,a man is jumping into an empty pool,good man is jumping into a full pool,good,Hypothesis,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
36,90,good man is jumping into an empty pool,good man is jumping into a full pool,good,Both,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
37,90,bad man is jumping into an empty pool,a man is jumping into a full pool,bad,Premise,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
38,90,a man is jumping into an empty pool,bad man is jumping into a full pool,bad,Hypothesis,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
39,90,bad man is jumping into an empty pool,bad man is jumping into a full pool,bad,Both,Subject,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
41,90,a man is not jumping into an empty pool,a man is jumping into a full pool,not,Premise,Verb,Neutral,Neutral,Negation,FE,RE,FE,Neutral
42,90,a man is jumping into an empty pool,a man is not jumping into a full pool,not,Hypothesis,Verb,Neutral,Neutral,Negation,FE,FE,FE,Neutral
43,90,a man is not jumping into an empty pool,a man is not jumping into a full pool,not,Both,Verb,Neutral,Neutral,Negation,Contradiction,Contradiction,FE,Neutral
44,90,a man is abnormally jumping into an empty pool,a man is jumping into a full pool,abnormally,Premise,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
45,90,a man is jumping into an empty pool,a man is abnormally jumping into a full pool,abnormally,Hypothesis,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
46,90,a man is abnormally jumping into an empty pool,a man is abnormally jumping into a full pool,abnormally,Both,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
47,90,a man is elegantly jumping into an empty pool,a man is jumping into a full pool,elegantly,Premise,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
48,90,a man is jumping into an empty pool,a man is elegantly jumping into a full pool,elegantly,Hypothesis,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
49,90,a man is elegantly jumping into an empty pool,a man is elegantly jumping into a full pool,elegantly,Both,Verb,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
50,90,a man is always jumping into an empty pool,a man is jumping into a full pool,always,Premise,Verb,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
51,90,a man is jumping into an empty pool,a man is always jumping into a full pool,always,Hypothesis,Verb,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
52,90,a man is always jumping into an empty pool,a man is always jumping into a full pool,always,Both,Verb,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
53,90,a man is never jumping into an empty pool,a man is jumping into a full pool,never,Premise,Verb,Neutral,Neutral,Universal,FE,FE,FE,Neutral
54,90,a man is jumping into an empty pool,a man is never jumping into a full pool,never,Hypothesis,Verb,Neutral,Neutral,Universal,RE,Neutral,FE,Neutral
55,90,a man is never jumping into an empty pool,a man is never jumping into a full pool,never,Both,Verb,Neutral,Neutral,Universal,Contradiction,Contradiction,FE,Neutral
57,90,A man is jumping into an good empty pool,"A man is jumping into a full pool
",good,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
58,90,A man is jumping into an empty pool,A man is jumping into a good full pool,good,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
59,90,A man is jumping into an good empty pool,A man is jumping into a good full pool,good,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
60,90,A man is jumping into all but one empty pool,"A man is jumping into a full pool
",all but one,Premise,Object,Neutral,Neutral,Existential,FE,Contradiction,FE,Neutral
61,90,A man is jumping into an empty pool,A man is jumping into all but one full pool,all but one,Hypothesis,Object,Neutral,Neutral,Existential,FE,FE,FE,Neutral
62,90,A man is jumping into all but one empty pool,A man is jumping into all but one full pool,all but one,Both,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
63,90,A man is jumping into every empty pool,"A man is jumping into a full pool
",every,Premise,Object,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
64,90,A man is jumping into an empty pool,A man is jumping into every full pool,every,Hypothesis,Object,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
65,90,A man is jumping into every empty pool,A man is jumping into every full pool,every,Both,Object,Alternation,Alternation,Universal,Contradiction,Contradiction,FE,Contradiction
66,90,A man is jumping into an bad empty pool,"A man is jumping into a full pool
",bad,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
67,90,A man is jumping into an empty pool,A man is jumping into a bad full pool,bad,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
68,90,A man is jumping into an bad empty pool,A man is jumping into a bad full pool,bad,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
69,90,A man is jumping into an green empty pool,"A man is jumping into a full pool
",green,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
70,90,A man is jumping into an empty pool,A man is jumping into a green full pool,green,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Neutral,FE,Contradiction
71,90,A man is jumping into an green empty pool,A man is jumping into a green full pool,green,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
72,90,A man is jumping into an happy empty pool,"A man is jumping into a full pool
",happy,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
73,90,A man is jumping into an empty pool,A man is jumping into a happy full pool,happy,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
74,90,A man is jumping into an happy empty pool,A man is jumping into a happy full pool,happy,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
75,90,A man is jumping into an abnormal empty pool,"A man is jumping into a full pool
",an abnormal,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
76,90,A man is jumping into an empty pool,A man is jumping into an abnormal full pool,an abnormal,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
77,90,A man is jumping into an abnormal empty pool,A man is jumping into an abnormal full pool,an abnormal,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
78,90,A man is jumping into an sad empty pool,"A man is jumping into a full pool
",sad,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
79,90,A man is jumping into an empty pool,A man is jumping into a sad full pool,sad,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
80,90,A man is jumping into an sad empty pool,A man is jumping into a sad full pool,sad,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
81,90,A man is jumping into no empty pool,"A man is jumping into a full pool
",no,Premise,Object,Neutral,Neutral,Negation,FE,FE,FE,Neutral
82,90,A man is jumping into an empty pool,A man is jumping into no full pool,no,Hypothesis,Object,Neutral,Neutral,Negation,FE,FE,FE,Neutral
83,90,A man is jumping into no empty pool,A man is jumping into no full pool,no,Both,Object,Neutral,Neutral,Negation,Contradiction,FE,FE,Neutral
84,90,A man is jumping into some empty pool,"A man is jumping into a full pool
",some,Premise,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
85,90,A man is jumping into an empty pool,A man is jumping into some full pool,some,Hypothesis,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
86,90,A man is jumping into some empty pool,A man is jumping into some full pool,some,Both,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
87,90,A man is jumping into exactly one empty pool,"A man is jumping into a full pool
",exactly one,Premise,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
88,90,A man is jumping into an empty pool,A man is jumping into exactly one full pool,exactly one,Hypothesis,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
89,90,A man is jumping into exactly one empty pool,A man is jumping into exactly one full pool,exactly one,Both,Object,Alternation,Alternation,Existential,Contradiction,Contradiction,FE,Contradiction
90,90,A man is jumping into an elegant empty pool,"A man is jumping into a full pool
",an elegant,Premise,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
91,90,A man is jumping into an empty pool,A man is jumping into an elegant full pool,an elegant,Hypothesis,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
92,90,A man is jumping into an elegant empty pool,A man is jumping into an elegant full pool,an elegant,Both,Object,Alternation,Alternation,Adjectives/Adverbs,Contradiction,Contradiction,FE,Contradiction
93,116,a player is throwing the ball,two teams are competing in a football match,NONE,NONE,NONE,Neutral,Neutral,No Modifiers,Neutral,Neutral,FE,Neutral
94,116,every player is throwing the ball,two teams are competing in a football match,every,Premise,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
95,116,a player is throwing the ball,every two teams are competing in a football match,every,Hypothesis,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
96,116,every player is throwing the ball,every two teams are competing in a football match,every,Both,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
97,116,some player is throwing the ball,two teams are competing in a football match,some,Premise,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
98,116,a player is throwing the ball,some two teams are competing in a football match,some,Hypothesis,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
99,116,some player is throwing the ball,some two teams are competing in a football match,some,Both,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
100,116,at least player is throwing the ball,two teams are competing in a football match,at least,Premise,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
101,116,a player is throwing the ball,at least two teams are competing in a football match,at least,Hypothesis,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
102,116,at least player is throwing the ball,at least two teams are competing in a football match,at least,Both,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
103,116,not every player is throwing the ball,two teams are competing in a football match,not every,Premise,Subject,Neutral,Neutral,Negation,Neutral,Neutral,FE,Neutral
104,116,a player is throwing the ball,not every two teams are competing in a football match,not every,Hypothesis,Subject,Neutral,Neutral,Negation,Neutral,Neutral,FE,Neutral
105,116,not every player is throwing the ball,not every two teams are competing in a football match,not every,Both,Subject,Neutral,Neutral,Negation,Neutral,Neutral,FE,Neutral
106,116,exactly one player is throwing the ball,two teams are competing in a football match,exactly one,Premise,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
107,116,a player is throwing the ball,exactly  two of teams are competing in a football match,exactly one,Hypothesis,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
108,116,exactly one player is throwing the ball,exactly  two of teams are competing in a football match,exactly one,Both,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
109,116,all but one player is throwing the ball,two teams are competing in a football match,all but one,Premise,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
110,116,a player is throwing the ball,all but  two of teams are competing in a football match,all but one,Hypothesis,Subject,Neutral,Neutral,Existential,Contradiction,Neutral,FE,Neutral
111,116,all but one player is throwing the ball,all but  two of teams are competing in a football match,all but one,Both,Subject,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
112,116,everyone of player is throwing the ball,two teams are competing in a football match,everyone of,Premise,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
113,116,a player is throwing the ball,everyone of two teams are competing in a football match,everyone of,Hypothesis,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
114,116,everyone of player is throwing the ball,everyone of two teams are competing in a football match,everyone of,Both,Subject,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
115,116,no player is throwing the ball,two teams are competing in a football match,no,Premise,Subject,Neutral,Neutral,Negation,Neutral,Neutral,FE,Neutral
116,116,a player is throwing the ball,no two teams are competing in a football match,no,Hypothesis,Subject,Neutral,Neutral,Negation,Contradiction,Contradiction,FE,Neutral
117,116,no player is throwing the ball,no two teams are competing in a football match,no,Both,Subject,Neutral,Neutral,Negation,Contradiction,Neutral,FE,Neutral
118,116,green player is throwing the ball,two teams are competing in a football match,green,Premise,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
119,116,a player is throwing the ball,two green teams are competing in a football match,green,Hypothesis,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
120,116,green player is throwing the ball,two green teams are competing in a football match,green,Both,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
121,116,happy player is throwing the ball,two teams are competing in a football match,happy,Premise,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
122,116,a player is throwing the ball,two happy teams are competing in a football match,happy,Hypothesis,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
123,116,happy player is throwing the ball,two happy teams are competing in a football match,happy,Both,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
124,116,sad player is throwing the ball,two teams are competing in a football match,sad,Premise,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
125,116,a player is throwing the ball,two sad teams are competing in a football match,sad,Hypothesis,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
126,116,sad player is throwing the ball,two sad teams are competing in a football match,sad,Both,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
127,116,good player is throwing the ball,two teams are competing in a football match,good,Premise,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
128,116,a player is throwing the ball,two good teams are competing in a football match,good,Hypothesis,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
129,116,good player is throwing the ball,two good teams are competing in a football match,good,Both,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
130,116,bad player is throwing the ball,two teams are competing in a football match,bad,Premise,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
131,116,a player is throwing the ball,two bad teams are competing in a football match,bad,Hypothesis,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
132,116,bad player is throwing the ball,two bad teams are competing in a football match,bad,Both,Subject,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
134,116,a player is not throwing the ball,two teams are competing in a football match,not,Premise,Verb,Neutral,Neutral,Negation,Neutral,RE,FE,Neutral
135,116,a player is throwing the ball,two teams are not competing in a football match,not,Hypothesis,Verb,Neutral,Neutral,Negation,Contradiction,Contradiction,FE,Neutral
136,116,a player is not throwing the ball,two teams are not competing in a football match,not,Both,Verb,Neutral,Neutral,Negation,Contradiction,RE,FE,Neutral
137,116,a player is abnormally throwing the ball,two teams are competing in a football match,abnormally,Premise,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
138,116,a player is throwing the ball,two teams are abnormally competing in a football match,abnormally,Hypothesis,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
139,116,a player is abnormally throwing the ball,two teams are abnormally competing in a football match,abnormally,Both,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
140,116,a player is elegantly throwing the ball,two teams are competing in a football match,elegantly,Premise,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
141,116,a player is throwing the ball,two teams are elegantly competing in a football match,elegantly,Hypothesis,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
142,116,a player is elegantly throwing the ball,two teams are elegantly competing in a football match,elegantly,Both,Verb,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
143,116,a player is always throwing the ball,two teams are competing in a football match,always,Premise,Verb,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
144,116,a player is throwing the ball,two teams are always competing in a football match,always,Hypothesis,Verb,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
145,116,a player is always throwing the ball,two teams are always competing in a football match,always,Both,Verb,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
146,116,a player is never throwing the ball,two teams are competing in a football match,never,Premise,Verb,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
147,116,a player is throwing the ball,two teams are never competing in a football match,never,Hypothesis,Verb,Neutral,Neutral,Universal,Contradiction,Contradiction,FE,Neutral
148,116,a player is never throwing the ball,two teams are never competing in a football match,never,Both,Verb,Neutral,Neutral,Universal,Contradiction,Neutral,FE,Neutral
150,116,A player is throwing the good ball,"Two teams are competing in a football match
",good,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
151,116,A player is throwing the ball,Two teams are competing in a good football match,good,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
152,116,A player is throwing the good ball,Two teams are competing in a good football match,good,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
153,116,A player is throwing all but one ball,"Two teams are competing in a football match
",all but one,Premise,Object,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
154,116,A player is throwing the ball,Two teams are competing in all but one football match,all but one,Hypothesis,Object,Neutral,Neutral,Existential,Contradiction,Neutral,FE,Neutral
155,116,A player is throwing all but one ball,Two teams are competing in all but one football match,all but one,Both,Object,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
156,116,A player is throwing every ball,"Two teams are competing in a football match
",every,Premise,Object,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
157,116,A player is throwing the ball,Two teams are competing in every football match,every,Hypothesis,Object,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
158,116,A player is throwing every ball,Two teams are competing in every football match,every,Both,Object,Neutral,Neutral,Universal,Neutral,Neutral,FE,Neutral
159,116,A player is throwing the bad ball,"Two teams are competing in a football match
",bad,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
160,116,A player is throwing the ball,Two teams are competing in a bad football match,bad,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
161,116,A player is throwing the bad ball,Two teams are competing in a bad football match,bad,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
162,116,A player is throwing the green ball,"Two teams are competing in a football match
",green,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
163,116,A player is throwing the ball,Two teams are competing in a green football match,green,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
164,116,A player is throwing the green ball,Two teams are competing in a green football match,green,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
165,116,A player is throwing the happy ball,"Two teams are competing in a football match
",happy,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
166,116,A player is throwing the ball,Two teams are competing in a happy football match,happy,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
167,116,A player is throwing the happy ball,Two teams are competing in a happy football match,happy,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
168,116,A player is throwing the an abnormal ball,"Two teams are competing in a football match
",an abnormal,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
169,116,A player is throwing the ball,Two teams are competing in a an abnormal football match,an abnormal,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
170,116,A player is throwing the an abnormal ball,Two teams are competing in a an abnormal football match,an abnormal,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
171,116,A player is throwing the sad ball,"Two teams are competing in a football match
",sad,Premise,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
172,116,A player is throwing the ball,Two teams are competing in a sad football match,sad,Hypothesis,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
173,116,A player is throwing the sad ball,Two teams are competing in a sad football match,sad,Both,Object,Neutral,Neutral,Adjectives/Adverbs,Neutral,Neutral,FE,Neutral
174,116,A player is throwing no ball,"Two teams are competing in a football match
",no,Premise,Object,Neutral,Neutral,Negation,Neutral,Neutral,FE,Neutral
175,116,A player is throwing the ball,Two teams are competing in no football match,no,Hypothesis,Object,Neutral,Neutral,Negation,Contradiction,Neutral,FE,Neutral
176,116,A player is throwing no ball,Two teams are competing in no football match,no,Both,Object,Neutral,Neutral,Negation,Contradiction,Neutral,FE,Neutral
177,116,A player is throwing some ball,"Two teams are competing in a football match
",some,Premise,Object,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
178,116,A player is throwing the ball,Two teams are competing in some football match,some,Hypothesis,Object,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
179,116,A player is throwing some ball,Two teams are competing in some football match,some,Both,Object,Neutral,Neutral,Existential,Neutral,Neutral,FE,Neutral
