8-310	camouflage is used for hiding by animals from predators . matching your background is camouflage	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the owl is invisible	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the mouse is oblivious	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the mouse is blind	A mouse is being hunted by a Great Horned Owl. The owl watches the mouse carefully, and the mouse is unaware that it is being hunted. The mouse is unable to tell where the owl is, because the owl matches its background	3
1380	a seismometer is used to measure the strength or magnitude of an earthquake . Japan has Earthquakes	You would use a seismometer if A mysterious rumble off the coast of Japan	You would use a seismometer if Someone farted in class	You would use a seismometer if Kids were stomping on the floor	You would use a seismometer if to track the buzz of a bee	0
7-1133	mammals give birth to live young . most mammals have four legs	Many animals that give birth to live young have gills	Many animals that give birth to live young have scales	Many animals that give birth to live young have exoskeletons	Many animals that give birth to live young have legs	3
9-295	an organism requires energy for growth . a child is an organism	A child will only grow if they are provided with a bed	A child will only grow if they are provided with education	A child will only grow if they are provided with inspiration	A child will only grow if they are provided with energy	3
9-512	high tide is a stage in the tide cycle process . swelling seas are a part of the tide	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to swell	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to float	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to die	Every twenty-four hours and fifty minutes, the moon can have an effect on bodies of water causing them to burn	0
7-1065	if a tree falls then that tree is dead . death is decay	The many trees on a forest floor are unable to decay	The many trees on a forest floor are able to regrow themselves	The many trees on a forest floor are broken down for good	The many trees on a forest floor broke, passed, will decay	3
9-122	a force acting on an object in the opposite direction that the object is moving can cause that object 's speed to decrease in a forward motion . the driver's goal is to speed up, wind prevents that	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds flip the car over	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds help the car go faster	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds conflict with the driver's goal	A car is driving on a highway trying to get up the the speed limit. However, there are strong winds hitting the windshield of the car. Even though the driver is trying to speed up, the high winds move the car sideways	2
8-78	if a mineral can be scratched by a fingernail then that mineral is soft . scratches leave lines	A student leaves a nail line on a mineral sample, so that mineral can be described as a mineral.	A student leaves a nail line on a mineral sample, so that mineral can be described as a soft mineral.	A student leaves a nail line on a mineral sample, so that mineral can be described as a liquid mineral.	A student leaves a nail line on a mineral sample, so that mineral can be described as a mineral melt.	1
7-749	An example of a chemical change is acid breaking down substances . lemon is a citrus	An example of a chemical change is acid breaking down substances, another is flour added to salt	An example of a chemical change is acid breaking down substances, another is milk added to water	An example of a chemical change is acid breaking down substances, another is corn added to soup	An example of a chemical change is acid breaking down substances, another is lemon juice added to milk	3
453	Matter in the gas phase has variable volume . fluctuating means varying	Matter in the gas phase has fluctuating volume	Matter in the gas phase has turned up volume	Matter in the gas phase has turned down volume	Matter in the gas phase has steady volume	0
9-439	earthworms create tunnels in soil . animals commonly called earthworms include annelids	an example of an excellent earth mover is cat	an example of an excellent earth mover is dog	an example of an excellent earth mover is annelids	an example of an excellent earth mover is fish	2
21	mammals give birth to live young . A giraffe is a mammal.	Shark gives birth to live young.	Turtle gives birth to live young.	Giraffe gives birth to live young.	Spider gives birth to live young.	2
9-938	a plant 's roots slowly break down rocks as the roots grow . granite is a type of rock	As a plant's roots get bigger, they split apart worms	As a plant's roots get bigger, they split apart water	As a plant's roots get bigger, they split apart granite	As a plant's roots get bigger, they split apart atoms	2
1695	as distance to a city decreases , the amount of light pollution will increase . the wilderness is far from any city	In the wilderness, light pollution is less	In the wilderness, light pollution is stronger	In the wilderness, light pollution is brighter	In the wilderness, light pollution is more widespread	0
9-1171	An example of moisture is water vapor in the atmosphere . moistness is similar to moisture	Water vapor is an example of moistness.	Water vapor is an example of warmth.	Water vapor is an example of heat.	Water vapor is an example of coldness.	0
9-1070	an ocean is a source of heat and moisture for a hurricane . A hurricane is a violent storm that occurs over large bodies of water	Heat and moisture in the ocean is a good recipe for a violent storm	Heat and moisture in the ocean is a good recipe for violent sea animals	Heat and moisture in the ocean is a good recipe for condensation	Heat and moisture in the ocean is a good recipe for inland storms	0
9-650	steam is a kind of water above 100 degrees celsius . steam evaporates from boiling water	If the boiling point of water is attained, the water evaporates rapidly is what ensues beyond this point.	If the boiling point of water is attained, the water then solidifies is what ensues beyond this point.	If the boiling point of water is attained, the water becomes black is what ensues beyond this point.	If the boiling point of water is attained, it evaporates rapidly, solidifies or turns black is what ensues beyond this point.	0
384	acid rain has a negative impact on water quality . decrease in water quality leads to a decrease in aquatic life	decrease in plant life is the most likely effect of acid rain on an aquatic environment.	increase in fish population is the most likely effect of acid rain on an aquatic environment.	increase in plant growth is the most likely effect of acid rain on an aquatic environment.	cleaner and clearer water is the most likely effect of acid rain on an aquatic environment.	0
1261	the phases of the Moon change the appearance of the Moon . a full moon is one of the phases of the moon	When the moon is full it has a different size	When the moon is full it has a different weight	When the moon is full it has a different distance	When the moon is full it has a different appearance	3
9-1051	winter is when a hemisphere is tilted away from the sun . when a hemisphere is cooler that means its winter	When a hemisphere is tilted away from the sun it becomes cool	When a hemisphere is tilted away from the sun nothing happens	When a hemisphere is tilted away from the sun it becomes hot	When a hemisphere is tilted away from the sun it becomes warm	0
1320	alternative fuel is usually a renewable resource . vegetable oil is an example of an alternative fuel	One renewable fuel source is vegetable oil	One renewable fuel source is coal	One renewable fuel source is fossil fuel	One renewable fuel source is petroleum fuel	0
9-676	a doorbell converts electrical energy into sound . Toasting a bagel uses electrical energy.	I can use electrical energy to Run a mile	I can use electrical energy to Swim	I can use electrical energy to bake a bagel	I can use electrical energy to Rock climb	2
9-128	a flower 's purpose is to produce seeds . seeds are a flower's offspring	On the list of a flower's goals would be to produce carbon dioxide	On the list of a flower's goals would be to deroot and die	On the list of a flower's goals would be to produce offspring	On the list of a flower's goals would be to remain sterile	2
9-644	something reusable can be used more than once . ceramic is reusable	A person wants to buy some reusable equipment for the kitchen, so they get paper plates	A person wants to buy some reusable equipment for the kitchen, so they get ceramic plates	A person wants to buy some reusable equipment for the kitchen, so they get solo cups	A person wants to buy some reusable equipment for the kitchen, so they get plastic forks	1
7-342	evaporation is a stage in the water cycle process . evaluation is not a state of water life cycle	The only stage of the water cycle process that is nonexistent is evaporation	The only stage of the water cycle process that is nonexistent is evaluation	The only stage of the water cycle process that is nonexistent is precipitation	The only stage of the water cycle process that is nonexistent is condensation	1
8-73	the ability to access resources has a positive impact on an organism 's survival . dogs can eat rodents	a lost dog by the river, with small rodents would more likely survive.	a cat left in the desert would more likely survive.	a man drifting a raft at sea without supplies would more likely survive.	Neither a lost dog by the river, with small rodents nor a cat left in the desert or a man drifting a raft at sea without supplies would more likely survive.	0
7-30	the moon 's surface contains many craters . craters are caused by explosions/impacts on the moon	The moon's surface is smooth on the entire surface	The moon's surface contains large cavities cause by explosions	The moon's surface contains an internal core of cheese	The moon's surface is filled with lakes	1
1310	a greenhouse is used to protect plants from the cold . snow and frost are cold	Greenhouses trap the dangerous gases released by plants	Greenhouses protect plants from snow and frost	Greenhouses keep plants from getting warm	Greenhouses protect plants from mild weather	1
1157	a planet rotating causes cycles of day and night on that planet . AM and PM represent day and night	Earth rotating causes the cycling of AM and PM	Earth rotating causes the creation of volcanic eruptions	Earth rotating causes the cycling of the tides	Earth rotating causes the creation of gravity	0
9-672	a stove generates heat for cooking usually . counter cookers are often stoves	a stack of clothes can help a person cook their food.	a stack of cans can help a person cook their food.	a pack of cigarettes can help a person cook their food.	a counter cooker appliance can help a person cook their food.	3
8-203	sunlight produces heat . our bodies are warmed by heat from the sun	Sunlight produces heat that causes dogs to bark	Sunlight produces heat that causes stones to form	Sunlight produces heat that causes warmth on bodies	Sunlight produces heat that causes plastic to form	2
8-37	a tape measure is used to measure length . tapes have graduated markings for units	You could tell the exact size of an object with a plain stick with irregular shape.	You could tell the exact size of an object with a plastic tape with graduated markings.	You could tell the exact size of an object with a thermometer with mercury in it.	You could tell the exact size of an object with a metal cooking spoon.	1
1875	reproduction produces offspring . wolf pups are the offspring of wolves	kittens would be the result of the breeding of two wolves.	wolf pups would be the result of the breeding of two wolves.	fox pups would be the result of the breeding of two wolves.	dog pups would be the result of the breeding of two wolves.	1
7-678	a scale is used for measuring weight . scales would indicate if someone was overweight	Scales measure how much belly fat the user has	Scales measure height of the user	Scales help users know if they need to drop some lbs.	Scales help users determine their blood sugar levels	2
7-156	a producer is a source of sugar in an ecosystem . carbs are a sugar	When producers create food in an ecosystem, a portion of the nutrients are carbs	When producers create food in an ecosystem, a portion of the nutrients are energy	When producers create food in an ecosystem, a portion of the nutrients are grass	When producers create food in an ecosystem, a portion of the nutrients are flowers	0
9-441	friction acts to counter the motion of two objects when their surfaces are touching . grazing mean to slide against one another	Two ships grazing each other as they pass will cause mayhem	Two ships grazing each other as they pass will sink them	Two ships grazing each other as they pass will speed them up	Two ships grazing each other as they pass will slow them down	3
278	a battery converts chemical energy into electrical energy . Energy stored due to the relative positions of charged particles or electric fields is electrical energy	A battery converts chemical energy into energy stored due to the relative positions of charged particles or electric fields	A battery converts chemical energy into energy stored due to the bombardment of particles	A battery converts chemical energy into energy stored between the cells of nonadjacent particles	A battery converts chemical energy into energy that is broken down in particles	0
9-373	chlorophyll is used for absorbing light energy by plants . chlorophyll is inside of leaves	The leaves of a plant benefit from dog	The leaves of a plant benefit from sun	The leaves of a plant benefit from human	The leaves of a plant benefit from dust	1
7-16	a quartz is made of six-sided transparent crystals . rainbows are produced through multi-faceted sides	Quartz may produce rainbows when light is shined around the crystal's area	Quartz may produce rainbows when light is shined through any of its sides	Quartz may produce rainbows when light is shined in the room its in	Quartz may produce rainbows when light is shined in to a mirror at it	1
8-264	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past . Some high places used to be underwater	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that the mountain used to be underwater	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that some bears in mountains eat fish	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that some fish can climb mountains	A woman is digging under a tree on a tall mountain. She is looking for interesting rocks, and a foot down into the soil, discovers a fossilized fish skeleton. From this discovery, the woman is able to determine that sometimes rain can move fish to high spaces	0
814	eyes are used for seeing by animals by sensing light . The Southern cave crayfish has no eyes	Southern cave crayfish lacks the ability to see by sensing light.	lobster lacks the ability to see by sensing light.	cod lacks the ability to see by sensing light.	salmon lacks the ability to see by sensing light.	0
9-1116	a skunk produces a bad odor . many autistic people are particularly sensitive to strong smells	cow emits something that many autistic people would be extra sensitive to.	dog emits something that many autistic people would be extra sensitive to.	cat emits something that many autistic people would be extra sensitive to.	skunk emits something that many autistic people would be extra sensitive to.	3
9-218	an earthquake usually occurs over a period of 10 to 30 seconds . volcanoes can be active for years	a super size earthquake occur over the shortest period.	a torrential rain fall occur over the shortest period.	all of a super size earthquake, a torrential rain fall and the eruption of a volcano occur over the shortest period.	the eruption of a volcano occur over the shortest period.	0
9-200	if it is night then the sun has set . it is harder to see outside at night	If the sun has set it is easy to cook a meal	If the sun has set it is time to eat breakfast	If the sun has set it is necessary to wear a coat	If the sun has set it is harder to see outside	3
7-282	magnifying glass is used to see small things by making objects appear bigger . ants are small	A magnifying glass would allow the user to better view the legs on an ant	A magnifying glass would enhance the smell of a viewed specimen	A magnifying glass would blur the legs of an ant	A magnifying glass would enhance the feel of the user	0
9-207	the vanes rotating in an electric fan causes air to move . circulating air is moving	Rotating vanes on an electric fan dampen air.	Rotating vanes on an electric fan circulate air.	Rotating vanes on an electric fan cool air.	Rotating vanes on an electric fan warm air.	1
8-408	the skeletal system protects internal organs . internal organs are fortified by skeletal structures	An animal would have its inner parts better protected if it had a backpack on its back.	An animal would have its inner parts better protected if it had a calcium fortified internal structure.	An animal would have its inner parts better protected if it had neither of a backpack on its back nor a calcium fortified internal structure nor a shell of cotton	An animal would have its inner parts better protected if it had a shell of cotton.	1
1891	a plants require water for to grow . H2O is the chemical equation for water	Plants require this to grow fertilizer	Plants require this to grow cool temperatures	Plants require this to grow non-organic matter	Plants require this to grow H2O	3
7-969	renewable resources can be used over again . ad infinitum means over and over again	Renewable resources often come from fossil fuels	Renewable resources take centuries to biodegrade	Renewable resources can be used ad infinitum	Renewable resources should be used conservatively	2
8-124	if something is outside during the day then that something will receive sunlight . prolonged sunlight exposure results in a tanning or darkening of the skin	A day hiking will most likely result in a paling of the skin.	A day hiking will most likely result in a greening of the skin.	A day hiking will most likely result in an even darker tone.	A day hiking will most likely result in neither of paling of the skin, greening of the skin nor an even darker tone 	2
1288	refraction causes something to look different . straws in water appear to be misaligned because of refraction	Refraction makes objects appear to be twice their size	Refraction moves heat energy thru sound waves	Refraction is the phenomenon involved in mirrors	Refraction makes a straw appear broken when in a cup of water	3
9-836	condensation is a stage in the water cycle process . oxygen and hydrogen form water	all of the combination of nails and hammers, the presence of H20 and the combination of chlorine and gas can be considered a stage in the water cycle.	the combination of nails and hammers can be considered a stage in the water cycle.	the presence of H20 can be considered a stage in the water cycle.	the combination of chlorine and gas can be considered a stage in the water cycle.	2
9-725	the sun is the source of energy for life on Earth . deer are one type of life on Earth	sun is required for a deer to live	iron is required for a deer to live	sand is required for a deer to live	cafeteria is required for a deer to live	0
9-973	national parks limit hunting . animals are hunted	national park is the best place to shoot animals.	sky is the best place to shoot animals.	forest is the best place to shoot animals.	sea is the best place to shoot animals.	2
7-892	a spider web is used to capture food by spiders . spiders build webs, traps and hunt	Spiders can catch prey by doing all aside from building webs	Spiders can catch prey by doing all aside from building traps	Spiders can catch prey by doing all aside from hunting	Spiders can catch prey by doing all aside from howling	3
112	sending electricity through a conductor causes electricity to flow through that conductor . attaching the conductor to a battery sends electricity to it	Electricity flow through a conductor when it's outside around lighting.	Electricity flow through a conductor when it's attached to a battery.	Electricity flow through a conductor when it's attached to a human.	Electricity flow through a conductor when it's near a light bulb.	1
9-608	a stopwatch is used to measure time . A stopwatch can be used to track things in a certain amount of time.	I can use a stopwatch to track The number of freckles I have on my back	I can use a stopwatch to track How long the road is	I can use a stopwatch to track My weight loss in 6 months	I can use a stopwatch to track how many marshmallows I can eat in 10 minutes	3
306	kilometers km are a unit used for measuring distance generally used for values between 1 and 50000000 . a trip is usually measured in miles or kilometers	If John were going to the store, he would measure his trip by kilometer.	If John were going to the store, he would measure his trip by centimeter.	If John were going to the store, he would measure his trip by decameter.	If John were going to the store, he would measure his trip by meter.	0
9-97	when an electrical conductor is plugged into an outlet , a circuit is completed . plugging a television in completes a circuit	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the tv. cord into the outlet he completed a lap	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the tv. cord into the outlet he made a good deal	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the tv. cord into the outlet he invented new circuits	A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the tv. cord into the outlet he completed a circuit	3
9-625	solar energy is a renewable resource . Renewable resources are environmentally friendly	Coal is the most environmentally friendly type of energy.	Petroleum is the most environmentally friendly type of energy.	Natural Gas is the most environmentally friendly type of energy.	Sunlight is the most environmentally friendly type of energy.	3
8-446	Matter in the solid phase has definite shape . ice is the solid phase of water	ice can be made into a triangle.	steam can be made into a triangle.	water can be made into a triangle.	salt water can be made into a triangle.	0
9-451	a candle is a source of light when it is burned . a match can light up the candle	a boy with a pen would see better through an underground tunnel.	a man with a stick would see better through an underground tunnel.	a man with a spoon would see better through an underground tunnel.	a man with a candle and match would see better through an underground tunnel.	3
884	the increase of something required by an organism has a positive impact on that organism 's survival . farming increases the amount of food	There are now many more people because of efficient farming	There are now many more people because of more cities	There are now many more people because of computers	There are now many more people because of global warming	0
8-267	when water freezes , that water expands . water will freeze in a freezer	Water in a sealed jar might evaporate when placed in the freezer.	Water in a sealed jar might break it when placed in the freezer.	Water in a sealed jar might melt when placed in the freezer.	Water in a sealed jar might run off when placed in the freezer.	1
1230	cooking causes a chemical reaction . mixing and heating edible items is cooking	mixing and heating edible items causes a chemical reaction.	putting water in a bowl causes a chemical reaction.	petting a small cat causes a chemical reaction.	rolling a ball on a floor causes a chemical reaction.	0
9-283	usually plants store the food they produce for future use . green chlorophyll is needed for sun energy production	bacteria stores food for future use and is green.	trout stores food for future use and is green.	virus stores food for future use and is green.	tree stores food for future use and is green.	3
9-1088	when water freezes , that water expands . expanding of frozen ice in a bottle will burst the bottle	Filling a bottle full of water and then placing it in the freezer can lead to loosening of the bottle lid	Filling a bottle full of water and then placing it in the freezer can lead to deflation of the bottle	Filling a bottle full of water and then placing it in the freezer can lead to ice cubes in the freezer	Filling a bottle full of water and then placing it in the freezer can lead to bursting of the bottle	3
9-446	magnetism does not require contact between objects to act . opposites attracting is magnetism	weight functions without contact between objects.	friction functions without contact between objects.	opposites attracting functions without contact between objects.	pressure functions without contact between objects.	2
168	the moon does not contain water . The Sea of Tranquility is on the moon.	Sea of Tranquilitiy does not contain water.	Caspian Sea does not contain water.	Dead Sea does not contain water.	Caribbean Sea does not contain water.	0
7-6	In the food chain process fungi have the role of decomposer . decomposers can directly absorb nutrients through chemical and biological processes without any ingestion	Fungi can do their food chain jobs without ingestion	Fungi act as predators in the food chain	Fungi are always safe to ingest	Fungi occupy the top of the food chain	0
172	as an object descends into water , the pressure on that object will increase . a scuba diver usually goes a lot deeper than an average swimmer	Compared to a regular swimmer, a scuba diver deals with more heat	Compared to a regular swimmer, a scuba diver deals with more pressure	Compared to a regular swimmer, a scuba diver deals with more water	Compared to a regular swimmer, a scuba diver deals with more air	1
1442	if a living thing dies then that living thing is dead . deceased is dead	a small squirrel falls from a tree and breaks its leg is an example of the fact that a thing is dead once it dies after having previously lived.	a panda stops eating and falls into a coma is an example of the fact that a thing is dead once it dies after having previously lived.	a dog is paralyzed and is unable to move is an example of the fact that a thing is dead once it dies after having previously lived.	a vibrant cat is deceased after being hit by a car is an example of the fact that a thing is dead once it dies after having previously lived.	3
8-212	clouds produce rain . Thunder clouds weigh quite a lot.	Thunder clouds are filled with beautiful music	Thunder clouds are of a significant weight	Thunder clouds are the color light pink	Thunder clouds are take 10 years to form	1
7-145	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface . if smoothness causes fall adding carpet which are anot as smooth will add traction	If someone is experiencing frequent falls they should move out of their house	If someone is experiencing frequent falls they should just stop trying to walk	If someone is experiencing frequent falls they should try wearing slicker bottomed shoes	If someone is experiencing frequent falls they should try putting down carpet or throw rugs	3
7-13	as the size of an object appears larger , that object will be observed better . telescopic lenses get up close	It is easiest to get a clear photo of the moon by using a large magnifying glass	It is easiest to get a clear photo of the moon by using a telephoto lens	It is easiest to get a clear photo of the moon by using a telescopic lens	It is easiest to get a clear photo of the moon by looking through a microscope	2
7-88	An example of collecting data is measuring . 	Filling a glass with markers for cup amounts on it would be seeing how much data is left on a phone	Filling a glass with markers for cup amounts on it would be a part of making chili	Filling a glass with markers for cup amounts on it would be a way to consider getting something	Filling a glass with markers for cup amounts on it would be a way to collect data	3
9-335	a new season occurs once per three months . Winter and Autumn are seasons	Winter snows follow Autumn's falling leaves by three months	Winter snows follow Autumn's falling leaves by three days	Winter snows follow Autumn's falling leaves by three years	Winter snows follow Autumn's falling leaves by 12 months	0
7-1082	squirrels gather nuts in the autumn to eat during the winter . food ensures survival	The way that squirrels put away food during the cool season ensures that they survive	The way that squirrels put away food during the cool season ensures that they eat	The way that squirrels put away food during the cool season ensures that they live	The way that squirrels put away food during the cool season ensures that they grow	0
7-898	consumers eat other organisms . munching is eating	An example of a consumer would be a deer munching grass	An example of a consumer would be a plant beginning to photosynthesize	An example of a consumer would be a squirrel eating a bug	An example of a consumer would be a wolf eating a deer	0
9-1142	processes sometimes produce waste products . Fecal matter is a waste product	Eating and digesting a large meal is guaranteed to produce disease	Eating and digesting a large meal is guaranteed to produce fecal matter	Eating and digesting a large meal is guaranteed to produce fuel	Eating and digesting a large meal is guaranteed to produce fertilizer	1
7-926	a canyon is made of rocks . stone and rocks are the same	Canyons are generally old, huge, and breathtaking and are brimming to full with sand	Canyons are generally old, huge, and breathtaking and are filled with local wildlife	Canyons are generally old, huge, and breathtaking and are dirty and muddy inside	Canyons are generally old, huge, and breathtaking and are typically materialized with stone	3
7-721	humidity is the amount of water vapor in the air . baths add humidity to air	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid run a bath	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid use a dehumidifier	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid open a window	If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid hope it rains	0
9-180	as lightness in color of an object increases , the ability of that object to reflect light will increase . the color pallete decides how light an objects color is	color pallete impacts an objects ability to reflect light.	weights impacts an objects ability to reflect light.	height impacts an objects ability to reflect light.	smell impacts an objects ability to reflect light.	0
9-1013	iron nails are made of iron . hammers drive in nails	an iron nail would make an ideal object to drive in with a hammer.	a metal nail would make an ideal object to drive in with a hammer.	a steel nail would make an ideal object to drive in with a hammer.	all of an iron nail, a metal nail and a steel nail would make an ideal object to drive in with a hammer.	3
9-601	planting native plants has a positive impact on an ecosystem . environs are a surrounding area	local plant varieties are the best for improving the local social status	local plant varieties are the best for improving the local environs	local plant varieties are the best for improving the local satellite reception	local plant varieties are the best for improving the local future	1
370	sending electricity through a conductor causes electricity to flow through that conductor . Traffic flows through a green light.	Electricity sent through a conductor halts the functioning of the conductor	Electricity sent through a conductor moves like traffic through a green light	Electricity sent through a conductor causes fire to flow through the conductor	Electricity sent through a conductor flows heat back to the conductor	1
9-1077	the sun is a source of light called sunlight . The light is then turned into energy	The sun is a source of Light, first and foremost.	The sun is a source of Energy, first and foremost.	The sun is a source of Heat, first and foremost.	The sun is a source of Nutrients), first and foremost.	0
